T,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,th12,th13,th14,th15,th16,th17,th18,th19,th20,th21,th22,th23,th24,th25,th26,th27,th28,th29,th30,th31,th32,th33,th34,th35,th36,th37,th38,th39,th40,th41,th42,th43,th44
0.01,1.0777661616217366e-06,1.1799800152952852e-06,2.1983321247411465e-06,2.1417655115283003e-06,2.8378323515352273e-06,2.415151646481114e-06,1.1611402882042432e-06,9.84687705464319e-07,1.9419265617307253e-06,1.466410313490965e-06,1.6001794377679315e-06,2.588546803008568e-06,3.4627014022245354e-06,3.5174631028065854e-06,1.235559573630737e-06,1.264866247153364e-06,1.8225535490932468e-06,7.534670104414255e-07,3.639042561336207e-06,1.5661620417817119e-06,6.491592053625591e-07,6.839733669752189e-07,2.5691607908023835e-06,1.5100514417279106e-06,1.0550354819198906e-06,2.000264967745706e-06,5.105850729329291e-06,1.345632028992123e-06,3.2015110461511126e-06,1.8279362826289088e-06,1.342155495927362e-06,1.144040590248005e-06,2.337684430969472e-06,1.8355740717285446e-06,1.4276528093394297e-06,2.7391407581532867e-06,1.9316931249152895e-06,1.5053896899077847e-06,4.016034311352936e-06,3.7922763907240037e-06,1.1436718793944193e-06,3.6607414509125765e-06,3.1166010588568706e-06,3.7964770828012738e-06
0.02,4.260160505303429e-06,4.639284957950945e-06,8.882366021392143e-06,9.390835388754229e-06,1.2920602599953618e-05,9.457271073858407e-06,4.65716002576557e-06,4.011118393847547e-06,8.197413802763391e-06,5.639802842476872e-06,6.575633877500872e-06,1.0392493152962888e-05,1.3968075698005787e-05,1.4090609521153609e-05,4.955730438121549e-06,5.061860957538851e-06,7.313619243131251e-06,3.0206429647878714e-06,1.4657818513552413e-05,6.464397184353466e-06,2.5777372170292367e-06,2.6390417763481928e-06,1.0404194691920813e-05,6.087643306686164e-06,4.376979273400021e-06,9.282818262945439e-06,2.132585847109947e-05,5.47023648654989e-06,1.7827635555929913e-05,7.304049610628524e-06,5.621945654404477e-06,4.705348173282244e-06,9.394791750571935e-06,7.504569017333336e-06,5.585455574131951e-06,1.0976188096648811e-05,7.967554372527444e-06,6.028300259654938e-06,1.6746206242173817e-05,1.709138324351525e-05,4.841664850679877e-06,1.7640212381084457e-05,1.2889127106300879e-05,1.5210335459084458e-05
0.03,1.1118590752323447e-05,1.0512588655940362e-05,2.0816001639476022e-05,2.200828347204368e-05,2.9624463710062762e-05,2.3459366216042775e-05,1.0456396700850884e-05,1.0061202335162174e-05,1.907701310403779e-05,1.4306752735486916e-05,1.4443828323319188e-05,2.3729380803411925e-05,3.259937297671536e-05,3.200663052288483e-05,1.1165934698202208e-05,1.1410005390866684e-05,1.645085435934757e-05,6.8225374643283556e-06,3.433839299435458e-05,1.6767179215656103e-05,5.995598038488989e-06,6.2086083700090665e-06,2.3713040110345456e-05,1.3625921098939517e-05,1.0351209435883834e-05,2.2445667711942618e-05,5.2365171519418844e-05,1.2480427277306858e-05,4.765022738775686e-05,2.1175279244734588e-05,1.4919252293777936e-05,1.0913533850236048e-05,2.2170614904033923e-05,1.7821835269992106e-05,1.2750007505290356e-05,2.4867721416136486e-05,1.8951165641446782e-05,1.3789767208830114e-05,3.8084129174158745e-05,5.0114415653061633e-05,1.1606143015427079e-05,4.3827716131888936e-05,3.076974939764975e-05,3.455079740466935e-05
0.04,2.0048762374824215e-05,2.0996407356437163e-05,3.815531942439873e-05,4.024551687713381e-05,6.35030011067878e-05,4.29132460115323e-05,1.9301317563917247e-05,1.7200292266853464e-05,3.89517791949913e-05,2.6101790775522473e-05,2.636927804977759e-05,4.256023084413761e-05,6.062888642848218e-05,5.768554449778145e-05,1.9931728063178867e-05,2.0350077853513448e-05,2.943391000997293e-05,1.2232107047947837e-05,6.409120473933227e-05,2.773306446648534e-05,1.0739300002687555e-05,1.1527507682919475e-05,4.516033655630537e-05,2.5479104260743784e-05,2.0226722448332903e-05,4.6271112447974324e-05,9.669521951449375e-05,2.4409334344834126e-05,0.000104023305593479,5.3032174860152186e-05,2.730434079869543e-05,1.9302938040737228e-05,4.461213832835283e-05,3.7671723035337933e-05,2.2426756140728862e-05,4.373551934810108e-05,3.393536936789238e-05,2.5687079524398077e-05,7.538195294656269e-05,8.09676928229398e-05,2.2426212320102894e-05,8.346802461192264e-05,5.671425185325993e-05,6.359800196905004e-05
0.05,2.8214392446902908e-05,3.308171531945717e-05,6.126657918187437e-05,6.618583758240383e-05,0.00010728170478143827,6.532844101061509e-05,3.085075545429209e-05,2.850232611041258e-05,6.754037973434353e-05,4.625691901936461e-05,4.024782041577972e-05,6.475089960715207e-05,9.447558161186326e-05,8.797552603047459e-05,3.1231207887939264e-05,3.236616418407336e-05,4.858922227827477e-05,1.8865741989851098e-05,9.69019473660849e-05,4.759613119642152e-05,1.8310995354781106e-05,1.9913499254607254e-05,7.138075845269567e-05,3.9525809429279704e-05,3.469986231066468e-05,7.692686820132105e-05,0.0001635762012909419,4.389450832317843e-05,0.0001128557338005266,0.00010192632328683116,3.368416612715763e-05,3.2458359545746196e-05,9.259543297996117e-05,6.085507958146469e-05,3.5560953015345695e-05,7.006925922759823e-05,5.6804911656443635e-05,4.255880156937224e-05,0.00012353371612033824,9.650525000477093e-05,4.179571044897373e-05,0.0001564028127547062,8.598639535557384e-05,0.00010549299421771721
0.060000000000000005,3.972913797130052e-05,4.5956366465830865e-05,8.322781623156192e-05,0.00010511595479385384,0.00015329019868742563,9.819752098256462e-05,4.720354281113275e-05,4.490889078693787e-05,0.00011593372569461808,6.503743985883945e-05,6.166579724231829e-05,9.641248393542267e-05,0.0001446770010347609,0.00014531565260956803,4.528229981287162e-05,4.7100771424552756e-05,6.890307630028499e-05,2.807538890163174e-05,0.00018351107134396795,7.916875630612523e-05,2.508325668000904e-05,2.921826370938333e-05,0.00011524401040664378,6.117318758662492e-05,5.086006478583856e-05,0.00011656654439546761,0.0002562080959186108,6.025405777355012e-05,0.00023730749927142273,0.00015742674171532502,4.760226536063466e-05,4.945116124619284e-05,9.359952341565543e-05,0.0001290411248804589,5.889258863288536e-05,0.00010681039164964441,8.426004560523761e-05,6.498888739558007e-05,0.00018160007901723245,0.00014740571973874736,5.849639039343028e-05,0.00022408951036862875,0.0001233920268834758,0.00014984458389055025
0.06999999999999999,5.659841834241913e-05,7.616864194928776e-05,0.00011115717958205641,0.00016050527854833598,0.00021428856817947374,0.00012820412815125595,6.390709318072145e-05,5.977996393889042e-05,0.00015099542972599092,0.00010208013167967945,9.165115725298272e-05,0.0001368744348775221,0.00021308095057434058,0.00020823815063142755,6.187900627447136e-05,6.693375544994996e-05,0.000101229479696915,4.185536834434776e-05,0.00024049000314406077,0.00010507663627190637,3.217416441994055e-05,4.220391362051268e-05,0.00015708185483777912,7.965396794070394e-05,7.213454171798416e-05,0.00016526287685146132,0.0003682365974132819,0.00012150617799825687,0.0003278680570202349,0.00034477719275847405,7.523756300658935e-05,7.400259367490303e-05,0.00011464787710846952,0.00013193619136560734,9.035106709658837e-05,0.00014788691255930851,0.00013286631782097235,9.45115075986375e-05,0.0002517426572257728,0.00022753026655440736,9.478193889454566e-05,0.0004457477757892717,0.00017958152802578534,0.00020643579024161166
0.08,0.0001032870575736228,0.00011509968322796027,0.00018974356228669187,0.0002328742973845499,0.00024650085307274447,0.0001588798511245852,8.306712550402144e-05,0.00010563908228146584,0.00019559823744124422,0.00014669612343908283,0.00015240203257442652,0.0001912002939432288,0.0002630449953855738,0.0003006844344791679,8.242168115933896e-05,8.674066629074584e-05,0.00013266145731327377,6.163354977631074e-05,0.0002690335387623201,0.00014530348692878936,4.8396159132851626e-05,6.277149037208662e-05,0.00024364501898342327,0.00010967287449214054,9.12563269027002e-05,0.00017260816433475927,0.0005288842440268054,0.00014632058005479575,0.0004425865014152792,0.00028904028349424545,0.00010176313158960359,0.00011836758487790384,0.0001540589627963248,0.00016479811994032974,0.0001216381769801878,0.00022688003096032425,0.00018570097233969,0.0001265945870514469,0.0003409677728757044,0.0003082225825222829,0.00014248253727494367,0.0007456539052169811,0.00025515863113157974,0.00031136486575782037
0.09,0.00012456738692031286,0.0001306129451895388,0.00023139613876138062,0.0003144617910218131,0.00027702444034687654,0.0002215463839636654,0.00012530282072715772,0.0001305965076248336,0.0003111309794938403,0.00023308580788810435,0.000184544130435215,0.00027872416373431717,0.00038138962760183264,0.0003727642324748752,0.00012159793652403119,0.00012945658870484224,0.00017493396667844354,7.52589753564683e-05,0.0003457465252942422,0.00015598304460682886,5.8126465553744615e-05,0.00012361995287297583,0.00034889635655737446,0.00014733383384261256,0.00013495806454725075,0.00025795005383024187,0.0007593800484124523,0.00019750150039688687,0.000511586649964417,0.00036963690737213794,0.00011096277217709296,0.00015035650907040726,0.00020354655801618527,0.00022986925597039452,0.0001608365066635926,0.00028319057288249774,0.00022362730002624002,0.00018342960631846617,0.00043206969935200744,0.00036751048079817854,0.0002654745821785989,0.0009765648044214106,0.000386257232680255,0.000436962460419693
0.09999999999999999,0.00012011616660448674,0.00016316478296373425,0.00036362383936560175,0.00038127322499464136,0.000320421046707573,0.0003145923084748281,0.00017002804239390644,0.00014687461636976563,0.0004922933467990277,0.0003694819101648379,0.00026558037231110216,0.0003780906982522636,0.00043768071363263505,0.0005094628097328493,0.00013737550672471635,0.0001903288901700718,0.00022820167763027248,9.161541369903264e-05,0.00044618249386239666,0.0002509440626771489,8.338814785383559e-05,0.00017948776751643166,0.000376749202551164,0.00017379982913068775,0.00018443607966469512,0.000351778656730958,0.0011879601815950355,0.0003057926071187636,0.0007467366849150517,0.0004971657955095707,0.00017353856316159602,0.0001732400947153307,0.0002694567584202911,0.00031915692139997104,0.00024155259874659126,0.0003307655088767233,0.00034586004446237836,0.00025480274696360104,0.0005195441566441299,0.00045548634902288005,0.00027800479225346806,0.0011581838204494225,0.0005358215671589329,0.0005057818441278392
