T,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,th12,th13,th14,th15,th16,th17,th18,th19,th20,th21,th22,th23,th24,th25,th26,th27,th28,th29,th30,th31,th32,th33,th34,th35,th36,th37,th38,th39,th40,th41,th42,th43,th44
0.01,0.0006771804511277035,0.0007414033094868879,0.0013812528106474456,0.0013457109593458586,0.0017830626535405034,0.0015174845339780722,0.0007295659598419172,0.0006186975323133789,0.0012201484440288266,0.0009213727736023042,0.001005422393223436,0.0016264319239610125,0.002175679457360735,0.0022100872486100656,0.0007763249759181721,0.00079473890196614,0.0011451441681210696,0.0004734172849450093,0.0022864778753588825,0.0009840486329585232,0.00040787875811544073,0.00042975314098808465,0.0016142513332551424,0.0009487933031750159,0.000662898343855219,0.001256803545580587,0.003208100628317398,0.0008454855393433562,0.002011568716594982,0.0011485262393474433,0.0008433011691961131,0.0007188219027463327,0.0014688104469489861,0.0011533252037724598,0.0008970207155395165,0.0017210528965925483,0.001213718586044757,0.0009458642381208228,0.002523348777822186,0.0023827575298961093,0.0007185902348845479,0.0023001116897757184,0.001958218198134983,0.0023853969025700982
0.02,0.0013383688946574633,0.0014574743541808323,0.002790477583930115,0.002950217946838133,0.004059127020796747,0.0029710893328640828,0.0014630899723537167,0.0012601300078790346,0.002575293498119704,0.0017717963177620174,0.0020657963082252903,0.0032648980141830436,0.004388200399764111,0.0044266955356258575,0.0015568886337573985,0.001590230519769705,0.002297641248537408,0.0009489629747295269,0.004604889495982873,0.002030850270425139,0.0008098200303904049,0.000829079425709204,0.003268574161065634,0.0019124895489960327,0.0013750685930228295,0.0029162833659478558,0.006699716030430176,0.0017185254759543975,0.005600716889338561,0.002294634859820596,0.0017661863166758167,0.001478228725376565,0.0029514608745602783,0.0023576298893211983,0.00175472261986451,0.003448271188885164,0.0025030810283809455,0.0018938463809365395,0.00526097585059128,0.005369416403751519,0.0015210538726039824,0.005541836162417864,0.004049238702833991,0.004778467813689607
0.03,0.0023286722017180506,0.002201751419447576,0.004359693188512732,0.00460940411159294,0.006204533170538041,0.004913318170812838,0.002189982603894246,0.002107213289495064,0.003995480281338756,0.002996399286035425,0.003025108330016783,0.004969869893748905,0.006827596710352174,0.006703453021123856,0.0023385878945556948,0.0023897059408911144,0.0034454588800401304,0.0014289089051183399,0.007191816211142904,0.003511709803021913,0.0012557151167729588,0.0013003278962824389,0.004966447506996092,0.0028538062415215037,0.0021679522346361333,0.00470100965258377,0.010967335876625049,0.0026138945765365926,0.009979840286884008,0.004434940114198041,0.0031246808935456957,0.002285725184573673,0.004643402727205424,0.0037325964505129784,0.002670355327455661,0.005208283394163463,0.003969122850408835,0.002888122090531608,0.007976321362126788,0.010495938670306917,0.002430784908918547,0.009179255401570743,0.0064444012440303625,0.007236302086811902
0.04,0.0031492522295157605,0.0032981079551380843,0.005993423559953149,0.0063217510080563815,0.009975028087899454,0.006740796920576069,0.0030318438731703036,0.002701815591257209,0.006118531168161821,0.004100059707295962,0.004142076510082394,0.0066853454277514225,0.009523563209952476,0.009061224140627867,0.0031308685228316124,0.0031965827542289097,0.004623467772687701,0.0019214148819878428,0.01006742289844028,0.004356299579472124,0.0016869252996570033,0.0018107366725429862,0.007093769077946578,0.004002248338280054,0.00317720613249412,0.007268249346999169,0.015188849563199299,0.0038342092728373962,0.016339942632729983,0.00833027454722717,0.004288955823214682,0.0030320984170739518,0.007007658301664244,0.005917460416794353,0.0035227866167781784,0.006869959314246431,0.0053305553551513405,0.00403491701630129,0.01184096947950864,0.012718375447533136,0.003522701193634008,0.013111126646523412,0.008908653848802135,0.009989950788447843
0.05,0.0035455251214675807,0.004157170952630222,0.007698985402734155,0.008317157644822685,0.013481416624238216,0.008209414013976903,0.003876820267715971,0.0035817079327477084,0.008487374431763143,0.005812815878757353,0.005057690277648594,0.008136838020766366,0.011872151725418103,0.011055330650921461,0.003924629330539424,0.0040672521450226375,0.006105901750122781,0.0023707390575934675,0.012177057838553485,0.005981106244238953,0.0023010275394598862,0.002502404118621599,0.00896997065450625,0.004966959701208612,0.0043605133006304605,0.00966691536019762,0.020555591691109928,0.005515946595241335,0.014181869768928787,0.01280843953781308,0.004232877153895063,0.004078837755859695,0.011635885280232483,0.0076472748378700675,0.004468721149906474,0.008805162801276056,0.0071383157259080204,0.005348096734237023,0.015523704601372063,0.012127207377913387,0.005252203875922481,0.019654157102038602,0.010805369118309531,0.013256640625582836
0.060000000000000005,0.004160425599469767,0.0048125394424911525,0.008715596534913208,0.011007717045181602,0.016052512068791203,0.01028322035065182,0.004943143443962197,0.0047028480459036775,0.012140551364850214,0.006810704775627265,0.006457627186474161,0.010096291708195593,0.015150540119806925,0.015217419556327511,0.0047419513476589315,0.004932381249526233,0.007215513277157077,0.0029400478506680892,0.019217234452886735,0.008290532773505454,0.0026267124971341167,0.0030597294206682643,0.012068324548791259,0.006406041223960372,0.005326053529743044,0.012206819984238317,0.026830049064271225,0.006309790175012001,0.024850783211762227,0.016485689841714765,0.004984897571706725,0.0051785134960841235,0.009801719171404297,0.01351315499784709,0.006167217459998613,0.011185158057785716,0.008823691342151848,0.006805620373564288,0.019017115804395444,0.015436290874278821,0.006125727677384037,0.02346659865068726,0.01292158283895606,0.015691688131025738
0.06999999999999999,0.005080262150552736,0.0068368813137655365,0.009977445107678567,0.014406920112852451,0.019234496901168865,0.011507575633139146,0.005736287269966654,0.00536583701549374,0.01355331807865163,0.009162691193210276,0.008226588637684955,0.012285820545013659,0.019126101398407952,0.01869141269202336,0.005554246614951886,0.006007959839963961,0.00908633684978701,0.0037569290772542204,0.021586332203976218,0.009431656816449939,0.002887946245059296,0.0037882144280840246,0.014099634319160722,0.007149723443194069,0.006474781323751015,0.014833961137933303,0.03305283969189911,0.010906369033288501,0.02942936797947227,0.030947128454152407,0.006753307863300009,0.00664245727530474,0.010290769384960952,0.011842564843908833,0.008109892818132586,0.013274298230239994,0.011926052799311242,0.008483333084330729,0.022596368072447463,0.02042306896790439,0.00850760694068861,0.04001022679353047,0.016119200261892484,0.01852963320174431
0.08,0.008112146532104984,0.009039907981486808,0.014902424533645714,0.018289904546829668,0.019360131727923773,0.012478394327410925,0.006524076780956378,0.00829687412068552,0.01536224964501312,0.0115214865926581,0.011969627648199269,0.015016835970406418,0.02065950562667199,0.02361570026021388,0.006473383700667489,0.006812595999662273,0.010419206492747421,0.004840687679797967,0.021129844723624242,0.011412109176911631,0.0038010254498432312,0.004930061325195744,0.019135835043051705,0.008613687420064603,0.0071672551547777895,0.013556613525592488,0.041538471390850075,0.011491991484228588,0.034760662535606245,0.022701170780425817,0.00799245766520475,0.009296568376889724,0.01209976264351493,0.012943214073248738,0.009553440079925328,0.017819115962779488,0.014584920261671288,0.009942715616626479,0.026779546259429656,0.024207745023061944,0.011190552309194924,0.05856352076875519,0.02004011202657497,0.024454539371268517
0.09,0.008696444169460717,0.009118503757137367,0.01615449799115106,0.02195357450019593,0.01933995437019047,0.015466855384214107,0.008747787134900391,0.009117356198636904,0.021721039988489895,0.01627245914927357,0.012883610765297511,0.019458617448126433,0.026626018938428097,0.026023852761424576,0.008489137423901652,0.009037774845198396,0.012212694768451554,0.005254067646590581,0.02413766097485753,0.010889670822697392,0.00405799282583965,0.008630300795174607,0.024357560680553173,0.010285842000559353,0.009421850313874224,0.018008310980137325,0.05301472847500492,0.013788205838218255,0.03571548580450724,0.025805524282132435,0.007746662886522515,0.0104968645403333,0.014210230473936363,0.01604790146317207,0.011228506394741962,0.019770431629634218,0.015612130731212362,0.012805802303576917,0.030164155407178164,0.025657071702062457,0.01853362215749125,0.06817708478499238,0.02696584187964917,0.030505734567756185
0.09999999999999999,0.0075471213316404655,0.010251945669668812,0.022847159648421794,0.023956103253073072,0.020132648127841272,0.019766417703607483,0.01068317697777901,0.0092284043157215,0.030931703234299154,0.023215233092163574,0.016686906931804014,0.023756139200398936,0.02750029029132449,0.03201049240667868,0.008631557654190884,0.011958716862483924,0.014338334279602608,0.0057563662126494134,0.02803447289756957,0.015767280475370155,0.005239431853881388,0.011277549036777091,0.023671850539611,0.0109201653278426,0.011588460658630163,0.02210290487351327,0.07464173958512321,0.019213516160927552,0.04691884966990245,0.031237848215779854,0.010903749502859968,0.01088499617729766,0.016930467454266122,0.020053220792249683,0.015177197393556285,0.020782609854960072,0.021731027497064945,0.016009728759506965,0.032643922114574064,0.02861905135801433,0.017467556260125038,0.07277083563660933,0.033666661980429474,0.03177921051662235
