Period [sec]	Elastic	Duct.=2.0	Duct.=3.0	Duct.=4.0
0.000	0.34470	0.34470	0.34470	0.34470
0.020	0.34588	0.33409	0.33258	0.33226
0.040	0.36892	0.32976	0.32206	0.31774
0.060	0.40868	0.33163	0.31470	0.30676
0.080	0.43820	0.35691	0.33475	0.32449
0.100	0.46820	0.36364	0.33998	0.31906
0.120	0.68308	0.52593	0.47159	0.43077
0.140	0.84612	0.62567	0.48025	0.41142
0.160	1.17075	0.71806	0.58754	0.50724
0.180	0.91458	0.66499	0.52470	0.46724
0.200	0.93676	0.66663	0.54034	0.43767
0.220	0.77915	0.60244	0.49380	0.43452
0.240	0.79836	0.48185	0.35618	0.31252
0.260	0.84426	0.44617	0.37730	0.32144
0.280	0.87268	0.44015	0.37325	0.31703
0.300	0.81329	0.41193	0.31865	0.28404
0.320	0.91736	0.48623	0.32152	0.29111
0.340	0.95249	0.41536	0.34243	0.29939
0.360	0.94387	0.45676	0.38593	0.31952
0.380	0.86527	0.45587	0.37214	0.32252
0.400	0.73972	0.40956	0.34744	0.31548
0.420	0.72436	0.38551	0.33448	0.30744
0.440	0.72526	0.40625	0.34190	0.30053
0.460	0.72797	0.46032	0.33978	0.27612
0.480	0.68952	0.46967	0.32534	0.23515
0.500	0.63539	0.40758	0.28593	0.22781
0.520	0.52630	0.35132	0.25737	0.22553
0.540	0.45724	0.28717	0.24379	0.22253
0.560	0.46026	0.28619	0.23955	0.21165
0.580	0.46234	0.27324	0.22071	0.19037
0.600	0.44626	0.24339	0.19923	0.16719
0.620	0.42984	0.21421	0.17299	0.14625
0.640	0.38306	0.18335	0.15130	0.13324
0.660	0.33283	0.18930	0.14228	0.12665
0.680	0.32514	0.22533	0.13596	0.12076
0.700	0.32988	0.20262	0.13061	0.11733
0.720	0.33511	0.18760	0.12595	0.11483
0.740	0.33427	0.18517	0.12034	0.11347
0.760	0.32624	0.19374	0.11827	0.11244
0.780	0.31234	0.13769	0.11682	0.10862
0.800	0.29449	0.13905	0.11419	0.10284
0.820	0.27548	0.17219	0.10873	0.09602
0.840	0.25669	0.17320	0.10513	0.09171
0.860	0.23946	0.16948	0.13682	0.09274
0.880	0.22857	0.16687	0.14011	0.09341
0.900	0.24335	0.16847	0.14124	0.09244
0.920	0.26829	0.17309	0.14385	0.10162
0.940	0.28887	0.18049	0.14760	0.12019
0.960	0.30647	0.18599	0.15398	0.11066
0.980	0.32294	0.19075	0.15831	0.10532
1.000	0.35336	0.19429	0.16037	0.10131
1.020	0.39609	0.20058	0.15972	0.09750
1.040	0.42382	0.21092	0.14233	0.09357
1.060	0.43058	0.21135	0.10623	0.09100
