Period [sec]	Elastic	Duct.=2.0	Duct.=3.0	Duct.=4.0
0.000	0.56830	0.56830	0.56830	0.56830
0.020	0.57702	0.55614	0.55910	0.56205
0.040	0.57400	0.54648	0.54590	0.54600
0.060	0.76130	0.59646	0.57318	0.56485
0.080	0.90683	0.66502	0.61179	0.59025
0.100	0.78246	0.60000	0.56450	0.54621
0.120	1.06417	0.75219	0.67101	0.62008
0.140	1.00417	0.75111	0.67892	0.63328
0.160	0.94145	0.67987	0.60405	0.57560
0.180	1.36183	0.91649	0.69474	0.62383
0.200	1.23869	0.87210	0.75296	0.68781
0.220	1.57568	0.84016	0.70399	0.63040
0.240	1.62761	1.08447	0.67811	0.58870
0.260	2.00229	1.13777	0.80433	0.63374
0.280	1.47580	1.07576	0.87886	0.65871
0.300	1.17958	0.91512	0.75278	0.51151
0.320	1.63159	0.96659	0.61349	0.41025
0.340	1.57597	0.90326	0.49411	0.39084
0.360	1.33936	0.73160	0.44703	0.38681
0.380	1.28964	0.74524	0.48952	0.42636
0.400	1.42746	0.81054	0.55942	0.44230
0.420	1.33068	0.66879	0.48340	0.42246
0.440	1.16959	0.62859	0.48493	0.40919
0.460	1.09214	0.74831	0.41614	0.36893
0.480	1.01067	0.76807	0.37354	0.34521
0.500	0.97535	0.75003	0.36186	0.30123
0.520	1.00166	0.72601	0.35813	0.31045
0.540	0.95825	0.53234	0.35776	0.31593
0.560	0.91602	0.51884	0.37290	0.32017
0.580	0.83047	0.51993	0.39673	0.30852
0.600	0.86133	0.45219	0.35826	0.30052
0.620	0.79059	0.46028	0.33301	0.28446
0.640	0.68140	0.46454	0.39061	0.27289
0.660	0.70915	0.43707	0.38648	0.26725
0.680	0.75457	0.42971	0.29263	0.24429
0.700	0.83653	0.42698	0.30277	0.24519
0.720	0.92041	0.42288	0.31065	0.25273
0.740	0.98384	0.40316	0.31671	0.25244
0.760	1.02577	0.42714	0.32507	0.24737
0.780	1.04636	0.43838	0.30457	0.23720
0.800	1.03976	0.45035	0.28371	0.22293
0.820	1.00278	0.45748	0.27429	0.20841
0.840	0.92991	0.45389	0.26442	0.19928
0.860	0.83713	0.43680	0.25682	0.19200
0.880	0.78570	0.41311	0.24993	0.18584
0.900	0.73113	0.38824	0.23460	0.18492
0.920	0.68646	0.36369	0.22428	0.18341
0.940	0.64482	0.34021	0.21488	0.17902
0.960	0.60370	0.32179	0.20677	0.17381
0.980	0.56304	0.30617	0.20515	0.16903
1.000	0.53448	0.29070	0.20363	0.16395
1.020	0.50906	0.27575	0.20234	0.15896
1.040	0.48519	0.26140	0.19480	0.15617
1.060	0.46348	0.24754	0.18361	0.15256
1.080	0.44395	0.23467	0.17397	0.14767
1.100	0.42699	0.22222	0.16709	0.14424
1.120	0.41295	0.21241	0.16102	0.14135
1.140	0.40119	0.20426	0.15637	0.13911
1.160	0.39125	0.19757	0.15269	0.13744
1.180	0.38301	0.19206	0.14941	0.13594
1.200	0.37557	0.18751	0.14810	0.13464
1.220	0.36913	0.18377	0.14654	0.13350
1.240	0.36367	0.18064	0.14538	0.13254
1.260	0.37588	0.17797	0.14466	0.13170
1.280	0.38581	0.17573	0.14459	0.13096
1.300	0.39339	0.17369	0.14458	0.13023
1.320	0.39861	0.17346	0.14454	0.12975
1.340	0.40165	0.17482	0.14485	0.12943
1.360	0.40242	0.17640	0.14512	0.12898
1.380	0.40133	0.17805	0.14561	0.12865
1.400	0.39851	0.18044	0.14614	0.12834
1.420	0.39433	0.18285	0.14674	0.12827
1.440	0.38950	0.18531	0.14782	0.12831
1.460	0.38461	0.18844	0.14912	0.12879
1.480	0.38026	0.19058	0.15069	0.12997
1.500	0.37679	0.19335	0.15208	0.13148
1.520	0.37351	0.19658	0.15504	0.13367
1.540	0.36994	0.20190	0.15849	0.13589
1.560	0.37102	0.20687	0.16300	0.13768
1.580	0.37133	0.21384	0.16686	0.13930
1.600	0.37509	0.22190	0.17039	0.14173
